City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Sevsk,52.1491,34.4926,27.5,94,100,12.33,RU,1644201296
81,Aklavik,68.2191,-135.0107,-22.97,91,100,19.39,CA,1644201297
82,Banjar,-8.19,114.9675,85.91,73,100,6.4,ID,1644201297
83,Rock Springs,41.5875,-109.2029,27.05,60,0,7.0,US,1644201297
84,George Town,5.4112,100.3354,82.89,80,20,1.01,MY,1644201298
85,Kindu,-2.95,25.95,68.76,99,100,3.15,CD,1644201298
86,Hilo,19.7297,-155.09,74.93,78,100,8.05,US,1644201298
87,Evensk,61.95,159.2333,4.77,73,0,6.98,RU,1644201299
88,Vila Velha,-20.3297,-40.2925,78.75,88,75,1.99,BR,1644201299
89,Kaka,37.3482,59.6143,36.95,87,100,10.0,TM,1644201299
90,Mitsamiouli,-11.3847,43.2844,77.29,94,40,4.61,KM,1644201300
91,Lagoa,39.05,-27.9833,59.56,85,7,16.49,PT,1644201300
92,Narsaq,60.9167,-46.05,8.82,82,100,5.57,GL,1644201300
93,Srednekolymsk,67.45,153.6833,-25.64,96,30,1.68,RU,1644201301
94,Tuatapere,-46.1333,167.6833,60.82,44,0,6.46,NZ,1644201301
95,Moguer,37.2756,-6.8385,49.87,64,1,5.01,ES,1644201302
96,Ambilobe,-13.2,49.05,72.45,94,27,1.07,MG,1644201302
97,The Valley,18.217,-63.0578,77.09,73,84,23.02,AI,1644201024
98,Chapais,49.7834,-74.8492,4.78,95,100,5.53,CA,1644201302
99,Walvis Bay,-22.9575,14.5053,72.55,78,93,6.91,NA,1644201112
100,Bartica,6.4,-58.6167,75.52,98,100,1.79,GY,1644201303
101,Nikolskoye,59.7035,30.7861,35.87,97,100,6.98,RU,1644201303
102,Saint Paul Harbor,57.79,-152.4072,36.91,48,100,5.75,US,1644201304
103,Husavik,66.0449,-17.3389,24.71,85,100,14.5,IS,1644201304
104,Sinegor'ye,62.0788,150.477,-9.13,74,0,0.31,RU,1644201304
105,Lively,46.4334,-81.1498,26.02,96,100,3.67,CA,1644201305
106,San Vicente,-26.6167,-54.1333,58.8,63,0,2.82,AR,1644201305
107,Half Moon Bay,37.4636,-122.4286,62.58,62,0,0.0,US,1644201025
108,Lavrentiya,65.5833,-171.0,-15.63,95,56,5.19,RU,1644201306
109,Kavaratti,10.5669,72.642,77.65,67,14,6.93,IN,1644201306
110,Peniche,39.3558,-9.3811,52.09,60,8,5.19,PT,1644201306
111,Leshukonskoye,64.8989,45.7622,12.94,94,100,7.58,RU,1644201307
112,Berlevåg,70.8578,29.0864,19.9,85,60,20.71,NO,1644201307
113,Honiara,-9.4333,159.95,85.28,74,100,7.43,SB,1644201274
114,Alice Springs,-23.7,133.8833,85.55,28,0,6.91,AU,1644201308
115,Avarua,-21.2078,-159.775,78.85,78,75,11.5,CK,1644201062
116,Porto da Folha,-9.9172,-37.2783,78.17,78,4,9.08,BR,1644201308
117,Sittwe,20.15,92.9,65.71,48,97,5.3,MM,1644201309
118,Cap Malheureux,-19.9842,57.6142,77.49,86,100,1.99,MU,1644201309
